Marque,Modèle,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Renault,Clio,Essence,8.0,5,Non,Très bon,Automatique,WW au Maroc,168000,37499.5,3
Toyota,RAV 4,Diesel,8.0,5,Non,Excellent,Manuelle,WW au Maroc,146000,224999.5,11
Peugeot,308,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,169000,32499.5,7
Seat,Toledo,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,120000,224999.5,12
Mini,CountryMan,Essence,8.0,5,Non,Neuf,Manuelle,WW au Maroc,103000,124999.5,13
Renault,Megane,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,117000,174999.5,11
Renault,Megane,Diesel,7.0,3,Non,Très bon,Manuelle,WW au Maroc,80000,174999.5,13
Mercedes-Benz,220,Diesel,9.0,5,Non,Très bon,Automatique,Dédouanée,140000,274999.5,18
Renault,Clio,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,129000,154999.5,6
Ford,Focus,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,139000,124999.5,10
Alfa Romeo,Giulietta,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,130000,104999.5,11
Citroen,C4,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,111000,164999.5,11
Renault,Kangoo,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,140000,194999.5,8
Renault,Kadjar,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,225000,92499.5,4
Ford,Kuga,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,159000,174999.5,8
Citroen,C3,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,178000,114999.5,5
Seat,Arona,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,195000,17499.5,3
Toyota,RAV 4,Diesel,9.0,5,Non,Excellent,Manuelle,WW au Maroc,85000,7499.5,18
Audi,A5,Diesel,8.0,5,Non,Très bon,Manuelle,Dédouanée,159000,224999.5,15
Citroen,C4,Diesel,6.0,5,Non,Correct,Automatique,WW au Maroc,125000,174999.5,8
BMW,X3,Essence,14.0,5,Non,Excellent,Automatique,WW au Maroc,106500,124999.5,18
Volkswagen,Polo,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,114000,124999.5,9
Seat,Leon,Diesel,8.0,5,Oui,Neuf,Automatique,WW au Maroc,340000,22499.5,1
Volvo,XC40,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,269000,52499.5,7
Dacia,Sandero,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,117000,104999.5,7
Toyota,Corolla,Hybride,10.0,5,Non,Excellent,Automatique,WW au Maroc,215000,62499.5,4
Hyundai,Elantra,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,158000,134999.5,6
Mercedes-Benz,Vito,Diesel,9.0,5,Non,Excellent,Manuelle,Importée neuve,110000,104999.5,16
Dacia,Duster,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,270000,42499.5,2
Nissan,Juke,Diesel,6.0,5,Non,Très bon,Manuelle,Dédouanée,160000,104999.5,12
Renault,Clio,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,141000,134999.5,4
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,135000,224999.5,16
Peugeot,407,Essence,13.0,5,Non,Très bon,Manuelle,Dédouanée,30000,194999.5,17
Peugeot,Partner,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,90000,224999.5,7
Suzuki,Swift,Essence,7.0,5,Non,Excellent,Manuelle,WW au Maroc,54000,224999.5,17
Dacia,Logan,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,178000,57499.5,5
Ford,Mondeo,Essence,11.0,3,Non,Bon,Manuelle,Dédouanée,26000,224999.5,20
Volkswagen,Caddy,Diesel,8.0,5,Non,Excellent,Manuelle,Dédouanée,110000,274999.5,17
BMW,X1,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,160000,134999.5,11
Hyundai,Creta,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,277000,67499.5,2
BMW,Série 1,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,105000,144999.5,13
Audi,Q5,Diesel,8.0,5,Non,Très bon,Automatique,Dédouanée,300000,184999.5,11
Fiat,Palio,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,33000,2499.5,26
Suzuki,Maruti,Diesel,5.0,5,Non,Bon,Manuelle,WW au Maroc,25000,12499.5,17
Ford,Focus,Essence,9.0,5,Non,Excellent,Manuelle,WW au Maroc,58000,194999.5,16
Mercedes-Benz,Classe C,Diesel,7.0,5,Non,Très bon,Automatique,WW au Maroc,235000,194999.5,10
BMW,X3,Diesel,8.0,5,Oui,Bon,Manuelle,WW au Maroc,170000,224999.5,13
Toyota,Aygo,Essence,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,62000,114999.5,14
Volkswagen,Touran,Diesel,8.0,5,Non,Très bon,Manuelle,Dédouanée,117000,224999.5,18
Fiat,Fiorino,Diesel,5.0,5,Non,Excellent,Manuelle,Pas encore dédouanée,105000,154999.5,7
Volkswagen,Touareg,Diesel,12.0,5,Non,Très bon,Automatique,WW au Maroc,137000,224999.5,12
Volkswagen,Golf 7,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,145000,184999.5,12
Dacia,Dokker,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,120000,104999.5,5
Jeep,Compass,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,225000,47499.5,3
Fiat,Doblo,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,68000,7499.5,10
Fiat,500,Diesel,5.0,3,Non,Très bon,Manuelle,WW au Maroc,99000,114999.5,8
Renault,Megane,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,168000,144999.5,6
Fiat,Fiorino,Diesel,7.0,5,Non,Excellent,Manuelle,Importée neuve,99000,184999.5,8
Volkswagen,Passat,Diesel,8.0,5,Non,Excellent,Automatique,Importée neuve,105000,224999.5,16
Peugeot,Boxer,Diesel,9.0,5,Oui,Très bon,Manuelle,WW au Maroc,175000,144999.5,6
Ford,Kuga,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,125000,224999.5,13
Peugeot,208,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,81000,274999.5,12
Renault,Clio,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,140000,82499.5,5
Peugeot,Partner,Diesel,7.0,5,Non,Très bon,Manuelle,WW au Maroc,50000,27499.5,20
Peugeot,Rifter,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,168000,2499.5,5
Peugeot,Partner,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,90000,17499.5,13
Chevrolet,Optra,Essence,9.0,5,Non,Bon,Manuelle,WW au Maroc,28000,324999.5,20
Renault,Clio,Essence,7.0,5,Non,Très bon,Manuelle,WW au Maroc,85000,124999.5,9
