Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Renault,Clio,2022.0,Essence,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,168000.0,37499.5,3.0
Toyota,RAV 4,2014.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,146000.0,224999.5,11.0
Peugeot,308,2018.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,169000.0,32499.5,7.0
Seat,Toledo,2013.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,120000.0,224999.5,12.0
Mini,CountryMan,2012.0,Essence,8.0,5.0,Non,Neuf,Manuelle,WW au Maroc,103000.0,124999.5,13.0
Renault,Megane,2014.0,Diesel,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,117000.0,174999.5,11.0
Renault,Megane,2012.0,Diesel,7.0,3.0,Non,Très bon,Manuelle,WW au Maroc,80000.0,174999.5,13.0
Mercedes-Benz,220,2007.0,Diesel,9.0,5.0,Non,Très bon,Automatique,Dédouanée,140000.0,274999.5,18.0
Renault,Clio,2019.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,129000.0,154999.5,6.0
Ford,Focus,2015.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,139000.0,124999.5,10.0
Alfa Romeo,Giulietta,2014.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,130000.0,104999.5,11.0
Citroen,C4,2014.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,111000.0,164999.5,11.0
Renault,Kangoo,2017.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,140000.0,194999.5,8.0
Renault,Kadjar,2021.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,225000.0,92499.5,4.0
Ford,Kuga,2017.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,159000.0,174999.5,8.0
Citroen,C3,2020.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,178000.0,114999.5,5.0
Seat,Arona,2022.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,195000.0,17499.5,3.0
Toyota,RAV 4,2007.0,Diesel,9.0,5.0,Non,Excellent,Manuelle,WW au Maroc,85000.0,7499.5,18.0
