Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Renault,Clio,2022,Essence,8 CV,35 000 - 39 999,5,Non,Très bon,Automatique,WW au Maroc,168 000 DH
Audi,A4,2014,Diesel,8 CV,170 000 - 179 999,5,,Excellent,Manuelle,,155 000 DH
Toyota,RAV 4,2014,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,146 000 DH
BMW,Série 5,2022,Electrique,10 CV,85 000 - 89 999,5,Oui,Excellent,Automatique,WW au Maroc,
Peugeot,308,2021,Diesel,7 CV,70 000 - 74 999,5,Oui,Neuf,Manuelle,WW au Maroc,
Peugeot,308,2018,Diesel,6 CV,30 000 - 34 999,5,Non,Excellent,Manuelle,WW au Maroc,169 000 DH
Seat,Toledo,2013,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,120 000 DH
Mini,CountryMan,2012,Essence,8 CV,120 000 - 129 999,5,Non,Neuf,Manuelle,WW au Maroc,103 000 DH
Renault,Megane,2014,Diesel,6 CV,170 000 - 179 999,5,,Bon,Manuelle,WW au Maroc,117 000 DH
Mercedes-Benz,Classe V,2018,Diesel,9 CV,20 000 - 24 999,5,Oui,Excellent,Automatique,WW au Maroc,845 000 DH
Volkswagen,Polo,2017,Diesel,6 CV,150 000 - 159 999,,,Excellent,Manuelle,,113 000 DH
Fiat,Uno,2005,Essence,4 CV,15 000 - 19 999,5,Non,Très bon,Manuelle,,
Renault,Clio,2014,Essence,7 CV,10 000 - 14 999,5,,Excellent,Manuelle,,70 000 DH
Renault,Megane,2005,Diesel,6 CV,300 000 - 349 999,,,,Manuelle,,65 000 DH
Renault,Megane,2012,Diesel,7 CV,170 000 - 179 999,3,Non,Très bon,Manuelle,WW au Maroc,80 000 DH
Volkswagen,Golf 4,2002,Essence,8 CV,Plus de 500 000,5,Non,Bon,Manuelle,Dédouanée,70 000 DH
Mercedes-Benz,220,2007,Diesel,9 CV,250 000 - 299 999,5,Non,Très bon,Automatique,Dédouanée,140 000 DH
Renault,Clio,2019,Diesel,6 CV,150 000 - 159 999,5,Non,Très bon,Automatique,WW au Maroc,129 000 DH
Ford,Focus,2015,Diesel,6 CV,120 000 - 129 999,5,Oui,Très bon,Manuelle,WW au Maroc,139 000 DH
Alfa Romeo,Giulietta,2014,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,130 000 DH
Renault,Clio,2015,Diesel,7 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,,118 000 DH
Kia,Picanto,2009,Essence,6 CV,140 000 - 149 999,5,Non,Excellent,Manuelle,Importée neuve,
Mercedes-Benz,Classe GLC,2021,Hybride,8 CV,85 000 - 89 999,5,Oui,Excellent,Automatique,Dédouanée,
Land Rover,Range Rover Vogue,2017,Diesel,14 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,Importée neuve,710 000 DH
Citroen,C4,2014,Diesel,6 CV,160 000 - 169 999,5,Non,Très bon,Manuelle,WW au Maroc,111 000 DH
Hyundai,i10,2016,Essence,6 CV,70 000 - 74 999,,,Excellent,Manuelle,,86 000 DH
Volkswagen,Golf 8,2022,Essence,11 CV,30 000 - 34 999,5,,Excellent,Automatique,Importée neuve,
Renault,Kangoo,2017,Diesel,8 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,140 000 DH
Renault,Kangoo,2011,Diesel,6 CV,0 - 4 999,,,Très bon,Manuelle,,
Renault,Kadjar,2021,Diesel,6 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,WW au Maroc,225 000 DH
Ford,Escort,1997,Essence,9 CV,25 000 - 29 999,5,Non,Bon,Manuelle,,16 000 DH
Ford,Kuga,2017,Diesel,8 CV,170 000 - 179 999,5,Non,Très bon,Manuelle,WW au Maroc,159 000 DH
Nissan,Terrano,2006,Diesel,11 CV,250 000 - 299 999,5,Non,,Manuelle,WW au Maroc,40 000 DH
Citroen,C3,2020,Diesel,6 CV,110 000 - 119 999,5,Oui,Très bon,Automatique,WW au Maroc,178 000 DH
Seat,Arona,2022,Diesel,6 CV,15 000 - 19 999,5,Oui,Excellent,Manuelle,WW au Maroc,195 000 DH
Toyota,RAV 4,2007,Diesel,9 CV,5 000 - 9 999,5,Non,Excellent,Manuelle,WW au Maroc,85 000 DH
Audi,A5,2010,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,Dédouanée,159 000 DH
Citroen,C4,2017,Diesel,6 CV,170 000 - 179 999,5,Non,Correct,Automatique,WW au Maroc,125 000 DH
Ford,Kuga,2013,Diesel,8 CV,190 000 - 199 999,5,Non,Excellent,Manuelle,WW au Maroc,
Volkswagen,Touareg,2022,Diesel,12 CV,90 000 - 94 999,5,,Excellent,Automatique,WW au Maroc,400 000 DH
