Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Jeep,Compass,2020,Diesel,7 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Dacia,Lodgy,2017,Diesel,6 CV,350 000 - 399 999,5,,Bon,Manuelle,WW au Maroc,112 000 DH
Dacia,Duster,2021,Diesel,6 CV,5 000 - 9 999,5,Non,Très bon,Manuelle,WW au Maroc,
BMW,X6,2022,Essence,Plus de 41 CV,5 000 - 9 999,5,Oui,Excellent,Automatique,Pas encore dédouanée,1 550 000 DH
Audi,Q3,2022,Diesel,8 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,Importée neuve,
Renault,Kadjar,2018,Diesel,6 CV,70 000 - 74 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Volkswagen,Touareg,2017,Diesel,12 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,172 000 DH
Peugeot,208,2015,Diesel,12 CV,250 000 - 299 999,5,Oui,Très bon,Manuelle,WW au Maroc,100 000 DH
Peugeot,3008,2018,Diesel,8 CV,120 000 - 129 999,5,Non,Excellent,Manuelle,WW au Maroc,
Opel,Corsa,2021,Essence,7 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,127 000 DH
Fiat,500X,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Volkswagen,Touareg,2022,Diesel,12 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,
Hyundai,Santa Fe,2015,Diesel,9 CV,85 000 - 89 999,5,Non,Très bon,Automatique,Pas encore dédouanée,170 000 DH
Renault,Clio,2017,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,126 000 DH
Peugeot,3008,2020,Diesel,8 CV,40 000 - 44 999,5,Oui,,Automatique,WW au Maroc,
Skoda,Octavia,2019,Diesel,8 CV,200 000 - 249 999,5,Oui,Bon,Manuelle,WW au Maroc,162 000 DH
Mazda,Premacy,2006,Diesel,8 CV,300 000 - 349 999,5,Non,Bon,Manuelle,WW au Maroc,40 000 DH
Toyota,Yaris,2017,Diesel,5 CV,70 000 - 74 999,5,Non,,Manuelle,,102 000 DH
BMW,Série 2,2020,Diesel,6 CV,170 000 - 179 999,5,Oui,Très bon,Automatique,Dédouanée,
Renault,Talisman,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,270 000 DH
Volkswagen,Golf 7,2013,Diesel,8 CV,25 000 - 29 999,5,Non,Excellent,Manuelle,Dédouanée,175 000 DH
Peugeot,208,2019,Diesel,6 CV,120 000 - 129 999,5,Non,Bon,Manuelle,WW au Maroc,120 000 DH
Dacia,Duster,2023,Diesel,6 CV,45 000 - 49 999,5,Oui,Neuf,Automatique,WW au Maroc,235 000 DH
Jeep,Renegade,2021,Diesel,7 CV,0 - 4 999,5,Oui,Très bon,Automatique,WW au Maroc,215 000 DH
Dacia,Dokker,2015,Diesel,6 CV,5 000 - 9 999,5,Non,Bon,Manuelle,WW au Maroc,
BMW,Série 5,2005,Diesel,8 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,Dédouanée,
Mini,Cooper,2019,Essence,9 CV,60 000 - 64 999,3,Oui,Très bon,Automatique,WW au Maroc,185 000 DH
Hyundai,Tucson,2023,Diesel,6 CV,80 000 - 84 999,5,Oui,Très bon,Automatique,WW au Maroc,
Mercedes-Benz,Classe GLC,2018,Diesel,8 CV,130 000 - 139 999,5,Oui,Excellent,Automatique,Dédouanée,480 000 DH
Fiat,Doblo,2020,Diesel,6 CV,80 000 - 84 999,5,Non,Excellent,Manuelle,WW au Maroc,95 000 DH
Peugeot,406,2003,Diesel,8 CV,10 000 - 14 999,5,Non,Excellent,Manuelle,WW au Maroc,40 000 DH
Volkswagen,Touran,2012,Diesel,8 CV,190 000 - 199 999,5,Non,Excellent,Automatique,Dédouanée,135 000 DH
Volkswagen,Polo,1998,Diesel,8 CV,250 000 - 299 999,5,Non,Excellent,Manuelle,Dédouanée,39 000 DH
Mercedes-Benz,190,1992,Diesel,8 CV,25 000 - 29 999,,,Très bon,Manuelle,Dédouanée,
Nissan,Navara,2014,Diesel,10 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,
DS,DS5,2017,Diesel,8 CV,110 000 - 119 999,5,Non,Très bon,Automatique,WW au Maroc,185 000 DH
Renault,Clio,2022,Diesel,6 CV,100 000 - 109 999,5,Oui,Très bon,Manuelle,WW au Maroc,140 000 DH
Maserati,Ghibli,2016,Diesel,12 CV,80 000 - 84 999,,,Excellent,Automatique,,280 000 DH
Citroen,Berlingo,2015,Diesel,7 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,126 000 DH
BMW,X3,2021,Diesel,8 CV,55 000 - 59 999,5,Oui,Neuf,Automatique,WW au Maroc,440 000 DH
Dacia,Dokker,2019,Diesel,6 CV,190 000 - 199 999,5,Oui,Bon,Manuelle,WW au Maroc,115 000 DH
Volkswagen,Tiguan,2016,Diesel,8 CV,140 000 - 149 999,5,Non,Très bon,Manuelle,WW au Maroc,
Fiat,Punto,2014,Diesel,5 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,77 000 DH
BMW,Série 5,2020,Diesel,8 CV,170 000 - 179 999,5,Oui,Très bon,Automatique,WW au Maroc,330 000 DH
Porsche,Cayenne,2012,Diesel,12 CV,180 000 - 189 999,,,Excellent,Automatique,,230 000 DH
Volkswagen,Tiguan,2025,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Land Rover,Range Rover Sport,2016,Diesel,12 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,320 000 DH
Porsche,Carrera,2024,Essence,17 CV,0 - 4 999,3,Oui,Neuf,Automatique,Importée neuve,
Renault,Megane,2016,Diesel,6 CV,150 000 - 159 999,5,Non,Très bon,Automatique,WW au Maroc,
Peugeot,208,2018,Diesel,6 CV,20 000 - 24 999,5,,Excellent,Manuelle,WW au Maroc,140 000 DH
Mini,Cooper,2008,Essence,9 CV,150 000 - 159 999,3,Non,Bon,Manuelle,WW au Maroc,80 000 DH
Seat,Altea,2004,Diesel,8 CV,250 000 - 299 999,5,Non,Excellent,Manuelle,Dédouanée,45 000 DH
Volkswagen,Passat,2016,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,185 000 DH
BMW,X3,2020,Diesel,8 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Vito,2017,Diesel,8 CV,200 000 - 249 999,,Oui,Excellent,Manuelle,Dédouanée,250 000 DH
Volkswagen,Polo,2008,Diesel,6 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,65 000 DH
Citroen,C4,2006,Diesel,6 CV,200 000 - 249 999,,,Très bon,Manuelle,WW au Maroc,
Citroen,C4,2017,Diesel,6 CV,170 000 - 179 999,5,Non,Correct,Automatique,WW au Maroc,125 000 DH
Fiat,Doblo,2015,Diesel,5 CV,0 - 4 999,5,Oui,Excellent,Manuelle,WW au Maroc,70 000 DH
Kia,Sportage,2022,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,230 000 DH
Nissan,Micra,2021,Diesel,6 CV,60 000 - 64 999,,Oui,,Manuelle,WW au Maroc,126 000 DH
Renault,Clio,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,140 000 DH
Dacia,Dokker,2021,Diesel,6 CV,100 000 - 109 999,5,Non,Bon,Manuelle,WW au Maroc,134 998 DH
Opel,Astra,2017,Diesel,6 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,150 000 DH
Renault,Megane,2020,Diesel,12 CV,130 000 - 139 999,,,,Automatique,,640 000 DH
Seat,Ateca,2022,Diesel,8 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,Dédouanée,
Citroen,C4,2022,Diesel,6 CV,60 000 - 64 999,,Oui,Très bon,Automatique,,229 000 DH
Volkswagen,Passat,2009,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,Importée neuve,105 000 DH
Volkswagen,T-Roc,2021,Diesel,8 CV,35 000 - 39 999,5,Oui,Excellent,Automatique,WW au Maroc,
Nissan,Qashqai,2019,Diesel,5 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Ford,Kuga,2013,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,143 000 DH
Renault,Kangoo,2012,Diesel,6 CV,20 000 - 24 999,5,Non,Bon,Manuelle,WW au Maroc,83 000 DH
Dacia,Logan,2022,Diesel,6 CV,0 - 4 999,5,Non,Excellent,Manuelle,,
Citroen,C4,2017,Diesel,6 CV,120 000 - 129 999,5,Oui,Très bon,Manuelle,Dédouanée,110 000 DH
Renault,Express,2022,Diesel,6 CV,75 000 - 79 999,,,Très bon,Manuelle,,
Peugeot,Partner,2011,Diesel,7 CV,300 000 - 349 999,5,Non,Excellent,Manuelle,WW au Maroc,75 000 DH
Renault,Megane,2019,Diesel,6 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,WW au Maroc,168 000 DH
BMW,Série 1,2021,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,290 000 DH
,,,,,,,,,,,219 000 DH
Dacia,Sandero,2014,Diesel,6 CV,65 000 - 69 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Fiat,Tipo,1995,Diesel,7 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,Dédouanée,21 000 DH
Mercedes-Benz,Classe GLC,2019,Diesel,9 CV,110 000 - 119 999,5,Non,Excellent,Automatique,Importée neuve,
Volkswagen,Golf 8,2023,Diesel,6 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,315 000 DH
Kia,Ceed,2021,Diesel,6 CV,40 000 - 44 999,5,Non,Bon,Automatique,WW au Maroc,210 000 DH
Volkswagen,Jetta,2020,Diesel,9 CV,50 000 - 54 999,,Oui,Excellent,Automatique,WW au Maroc,210 000 DH
Peugeot,306,1998,Diesel,8 CV,100 000 - 109 999,5,,,Manuelle,,29 000 DH
Renault,Express,2025,Diesel,6 CV,0 - 4 999,3,Oui,Excellent,Manuelle,Dédouanée,157 000 DH
Volkswagen,Caddy,2017,Diesel,6 CV,130 000 - 139 999,5,Non,Très bon,Automatique,WW au Maroc,146 000 DH
Mercedes-Benz,Classe CLA,2022,Diesel,8 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,
