Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Renault,Clio,2022,Essence,8,37000,5,Non,Très bon,Automatique,WW au Maroc,168000
Toyota,RAV 4,2014,Diesel,8,225000,5,Non,Excellent,Manuelle,WW au Maroc,146000
Peugeot,308,2018,Diesel,6,32000,5,Non,Excellent,Manuelle,WW au Maroc,169000
Seat,Toledo,2013,Diesel,6,225000,5,Non,Excellent,Manuelle,WW au Maroc,120000
Mini,CountryMan,2012,Essence,8,125000,5,Non,Neuf,Manuelle,WW au Maroc,103000
Renault,Megane,2012,Diesel,7,175000,3,Non,Très bon,Manuelle,WW au Maroc,80000
Mercedes-Benz,220,2007,Diesel,9,275000,5,Non,Très bon,Automatique,Dédouanée,140000
Renault,Clio,2019,Diesel,6,155000,5,Non,Très bon,Automatique,WW au Maroc,129000
Ford,Focus,2015,Diesel,6,125000,5,Oui,Très bon,Manuelle,WW au Maroc,139000
Alfa Romeo,Giulietta,2014,Diesel,8,105000,5,Oui,Excellent,Automatique,WW au Maroc,130000
Renault,Clio,2015,Diesel,7,105000,5,Non,Très bon,Manuelle,WW au Maroc,118000
Citroen,C4,2014,Diesel,6,165000,5,Non,Très bon,Manuelle,WW au Maroc,111000
Renault,Kangoo,2017,Diesel,8,195000,5,Non,Très bon,Manuelle,WW au Maroc,140000
Renault,Kadjar,2021,Diesel,6,92000,5,Oui,Excellent,Automatique,WW au Maroc,225000
Ford,Escort,1997,Essence,9,27000,5,Non,Bon,Manuelle,WW au Maroc,16000
Ford,Kuga,2017,Diesel,8,175000,5,Non,Très bon,Manuelle,WW au Maroc,159000
Nissan,Terrano,2006,Diesel,11,275000,5,Non,Excellent,Manuelle,WW au Maroc,40000
Citroen,C3,2020,Diesel,6,115000,5,Oui,Très bon,Automatique,WW au Maroc,178000
Seat,Arona,2022,Diesel,6,17000,5,Oui,Excellent,Manuelle,WW au Maroc,195000
Toyota,RAV 4,2007,Diesel,9,7000,5,Non,Excellent,Manuelle,WW au Maroc,85000
Audi,A5,2010,Diesel,8,225000,5,Non,Très bon,Manuelle,Dédouanée,159000
Citroen,C4,2017,Diesel,6,175000,5,Non,Correct,Automatique,WW au Maroc,125000
BMW,X3,2007,Essence,14,125000,5,Non,Excellent,Automatique,WW au Maroc,106500
Volkswagen,Polo,2016,Diesel,6,125000,5,Non,Très bon,Manuelle,WW au Maroc,114000
Volkswagen,Touareg,2020,Diesel,10,105000,5,Non,Excellent,Automatique,WW au Maroc,375000
Seat,Leon,2024,Diesel,8,22000,5,Oui,Neuf,Automatique,WW au Maroc,340000
Hyundai,i20,2019,Diesel,20,115000,5,Non,Très bon,Manuelle,WW au Maroc,130000
Dacia,Sandero,2018,Diesel,6,105000,5,Oui,Très bon,Manuelle,WW au Maroc,117000
Toyota,Corolla,2021,Hybride,10,62000,5,Non,Excellent,Automatique,WW au Maroc,215000
Mercedes-Benz,Vito,2009,Diesel,9,105000,5,Non,Excellent,Manuelle,Importée neuve,110000
Dacia,Duster,2023,Diesel,6,42000,5,Oui,Excellent,Automatique,WW au Maroc,270000
Nissan,Juke,2013,Diesel,6,105000,5,Non,Très bon,Manuelle,Dédouanée,160000
Peugeot,205,1992,Diesel,7,22000,5,Non,Très bon,Manuelle,WW au Maroc,27000
Renault,Clio,2021,Diesel,6,135000,5,Oui,Excellent,Manuelle,WW au Maroc,141000
Hyundai,Accent,2005,Diesel,6,275000,5,Non,Excellent,Manuelle,WW au Maroc,40000
Volkswagen,Tiguan,2009,Diesel,8,225000,5,Non,Excellent,Automatique,WW au Maroc,135000
Peugeot,407,2008,Essence,13,195000,5,Non,Très bon,Manuelle,Dédouanée,30000
Peugeot,Partner,2018,Diesel,6,225000,5,Oui,Excellent,Manuelle,WW au Maroc,90000
Peugeot,208,2018,Diesel,25,115000,5,Oui,Très bon,Manuelle,WW au Maroc,110000
Suzuki,Swift,2008,Essence,7,225000,5,Non,Excellent,Manuelle,WW au Maroc,54000
Dacia,Logan,2020,Diesel,6,57000,5,Oui,Excellent,Automatique,WW au Maroc,178000
Ford,Mondeo,2005,Essence,11,225000,3,Non,Bon,Manuelle,Dédouanée,26000
BMW,X1,2014,Diesel,8,135000,5,Non,Très bon,Automatique,WW au Maroc,160000
Hyundai,Creta,2023,Diesel,6,67000,5,Oui,Très bon,Automatique,WW au Maroc,277000
BMW,Série 1,2012,Essence,6,145000,5,Non,Excellent,Manuelle,WW au Maroc,105000
Audi,Q5,2014,Diesel,8,185000,5,Non,Très bon,Automatique,Dédouanée,300000
Renault,R9,1989,Diesel,6,2000,5,Non,Bon,Manuelle,Dédouanée,15000
Suzuki,Maruti,2008,Diesel,5,12000,5,Non,Bon,Manuelle,WW au Maroc,25000
Ford,Focus,2009,Essence,9,195000,5,Non,Excellent,Manuelle,WW au Maroc,58000
Mercedes-Benz,Classe C,2015,Diesel,7,195000,5,Non,Très bon,Automatique,WW au Maroc,235000
BMW,X3,2012,Diesel,8,225000,5,Oui,Bon,Manuelle,WW au Maroc,170000
Toyota,Aygo,2011,Essence,6,115000,5,Oui,Très bon,Manuelle,WW au Maroc,62000
Volkswagen,Touran,2007,Diesel,8,225000,5,Non,Très bon,Manuelle,Dédouanée,117000
Fiat,Fiorino,2018,Diesel,5,155000,5,Non,Excellent,Manuelle,Pas encore dédouanée,105000
Volkswagen,Touareg,2013,Diesel,12,225000,5,Non,Très bon,Automatique,WW au Maroc,137000
Volkswagen,Golf 7,2013,Diesel,8,185000,5,Non,Très bon,Manuelle,WW au Maroc,145000
Dacia,Dokker,2020,Diesel,6,105000,5,Oui,Excellent,Manuelle,WW au Maroc,120000
Jeep,Compass,2022,Diesel,6,47000,5,Oui,Excellent,Manuelle,WW au Maroc,225000
Peugeot,205,1988,Diesel,7,325000,5,Non,Très bon,Manuelle,Dédouanée,28000
Fiat,Doblo,2015,Diesel,6,7000,5,Non,Bon,Manuelle,WW au Maroc,68000
Fiat,500,2017,Diesel,5,115000,3,Non,Très bon,Manuelle,WW au Maroc,99000
Renault,Megane,2019,Diesel,6,145000,5,Oui,Excellent,Automatique,WW au Maroc,168000
Fiat,Fiorino,2017,Diesel,7,185000,5,Non,Excellent,Manuelle,Importée neuve,99000
Volkswagen,Passat,2009,Diesel,8,225000,5,Non,Excellent,Automatique,Importée neuve,105000
Peugeot,Boxer,2019,Diesel,9,145000,5,Oui,Très bon,Manuelle,WW au Maroc,175000
Ford,Kuga,2012,Diesel,8,225000,5,Oui,Excellent,Automatique,WW au Maroc,125000
Peugeot,208,2013,Diesel,6,275000,5,Non,Très bon,Manuelle,WW au Maroc,81000
Renault,Clio,2020,Diesel,6,82000,5,Oui,Excellent,Automatique,WW au Maroc,140000
Peugeot,Partner,2005,Diesel,7,27000,5,Non,Très bon,Manuelle,WW au Maroc,50000
Peugeot,Rifter,2020,Diesel,6,2000,5,Non,Excellent,Manuelle,WW au Maroc,168000
Peugeot,Partner,2012,Diesel,6,17000,5,Non,Très bon,Manuelle,WW au Maroc,90000
Chevrolet,Optra,2005,Essence,9,325000,5,Non,Bon,Manuelle,WW au Maroc,28000
Dacia,Duster,2019,Diesel,6,155000,5,Oui,Très bon,Automatique,WW au Maroc,162000
Citroen,C4,2022,Diesel,6,105000,5,Oui,Excellent,Automatique,WW au Maroc,225000
BMW,Série 1,2022,Diesel,7,42000,5,Non,Très bon,Automatique,WW au Maroc,365000
Ford,Focus,2017,Diesel,6,165000,5,Non,Très bon,Manuelle,WW au Maroc,135000
